*sample_name	library_ID	title	library_strategy	library_source	library_selection	library_layout	platform	instrument_model	design_description	filetype	filename	filename2	filename3	filename4	assembly	fasta_file
GE020414_13	GE020414_11_300	Pacific cod RAD-seq	RAD-Seq	GENOMIC	Restriction Digest	single	ILLUMINA	Illumina HiSeq 4000	RAD-Seq with SBFI; sequences trimmed to 142bp	fastq	GE020414_11_300.fq.gz					
GE020414_14	GE020414_13_300	Pacific cod RAD-seq	RAD-Seq	GENOMIC	Restriction Digest	single	ILLUMINA	Illumina HiSeq 4000	RAD-Seq with SBFI; sequences trimmed to 142bp	fastq	GE020414_13_300.fq.gz					
GE020414_15	GE020414_14_300	Pacific cod RAD-seq	RAD-Seq	GENOMIC	Restriction Digest	single	ILLUMINA	Illumina HiSeq 4000	RAD-Seq with SBFI; sequences trimmed to 142bp	fastq	GE020414_14_300.fq.gz					
GE020414_16	GE020414_15_300	Pacific cod RAD-seq	RAD-Seq	GENOMIC	Restriction Digest	single	ILLUMINA	Illumina HiSeq 4000	RAD-Seq with SBFI; sequences trimmed to 142bp	fastq	GE020414_15_300.fq.gz					
GE020414_17	GE020414_16_300	Pacific cod RAD-seq	RAD-Seq	GENOMIC	Restriction Digest	single	ILLUMINA	Illumina HiSeq 4000	RAD-Seq with SBFI; sequences trimmed to 142bp	fastq	GE020414_16_300.fq.gz					
GE020414_02	GE020414_17_300	Pacific cod RAD-seq	RAD-Seq	GENOMIC	Restriction Digest	single	ILLUMINA	Illumina HiSeq 4000	RAD-Seq with SBFI; sequences trimmed to 142bp	fastq	GE020414_17_300.fq.gz					
GE020414_23	GE020414_23_300	Pacific cod RAD-seq	RAD-Seq	GENOMIC	Restriction Digest	single	ILLUMINA	Illumina HiSeq 4000	RAD-Seq with SBFI; sequences trimmed to 142bp	fastq	GE020414_23_300.fq.gz					
GE020414_24	GE020414_24_300	Pacific cod RAD-seq	RAD-Seq	GENOMIC	Restriction Digest	single	ILLUMINA	Illumina HiSeq 4000	RAD-Seq with SBFI; sequences trimmed to 142bp	fastq	GE020414_24_300.fq.gz					
GE020414_25	GE020414_25_300	Pacific cod RAD-seq	RAD-Seq	GENOMIC	Restriction Digest	single	ILLUMINA	Illumina HiSeq 4000	RAD-Seq with SBFI; sequences trimmed to 142bp	fastq	GE020414_25_300.fq.gz					
GE020414_26	GE020414_26	Pacific cod RAD-seq	RAD-Seq	GENOMIC	Restriction Digest	single	ILLUMINA	Illumina HiSeq 4000	RAD-Seq with SBFI; sequences trimmed to 142bp	fastq	GE020414_26.fq.gz					
GE020414_27	GE020414_27	Pacific cod RAD-seq	RAD-Seq	GENOMIC	Restriction Digest	single	ILLUMINA	Illumina HiSeq 4000	RAD-Seq with SBFI; sequences trimmed to 142bp	fastq	GE020414_27.fq.gz					
GE020414_29	GE020414_29	Pacific cod RAD-seq	RAD-Seq	GENOMIC	Restriction Digest	single	ILLUMINA	Illumina HiSeq 4000	RAD-Seq with SBFI; sequences trimmed to 142bp	fastq	GE020414_29.fq.gz					
GE020414_30	GE020414_30_2	Pacific cod RAD-seq	RAD-Seq	GENOMIC	Restriction Digest	single	ILLUMINA	Illumina HiSeq 4000	RAD-Seq with SBFI; sequences trimmed to 142bp	fastq	GE020414_30_2.fq.gz					
JB021108_02	JB021108_02_PE	Pacific cod RAD-seq	RAD-Seq	GENOMIC	Restriction Digest	single	ILLUMINA	Illumina HiSeq 4000	RAD-Seq with SBFI; sequences trimmed to 142bp	fastq	JB021108_02_PE.1.fq.gz					
JB021108_04	JB021108_04_PE	Pacific cod RAD-seq	RAD-Seq	GENOMIC	Restriction Digest	single	ILLUMINA	Illumina HiSeq 4000	RAD-Seq with SBFI; sequences trimmed to 142bp	fastq	JB021108_04_PE.1.fq.gz					
JB021108_05	JB021108_05	Pacific cod RAD-seq	RAD-Seq	GENOMIC	Restriction Digest	single	ILLUMINA	Illumina HiSeq 4000	RAD-Seq with SBFI; sequences trimmed to 142bp	fastq	JB021108_05.fq.gz					
JB021108_06	JB021108_06	Pacific cod RAD-seq	RAD-Seq	GENOMIC	Restriction Digest	single	ILLUMINA	Illumina HiSeq 4000	RAD-Seq with SBFI; sequences trimmed to 142bp	fastq	JB021108_06.fq.gz					
JB021108_07	JB021108_07_PE	Pacific cod RAD-seq	RAD-Seq	GENOMIC	Restriction Digest	single	ILLUMINA	Illumina HiSeq 4000	RAD-Seq with SBFI; sequences trimmed to 142bp	fastq	JB021108_07_PE.1.fq.gz					
JB021108_08	JB021108_08_PE	Pacific cod RAD-seq	RAD-Seq	GENOMIC	Restriction Digest	single	ILLUMINA	Illumina HiSeq 4000	RAD-Seq with SBFI; sequences trimmed to 142bp	fastq	JB021108_08_PE.1.fq.gz					
JB021108_09	JB021108_09_PE	Pacific cod RAD-seq	RAD-Seq	GENOMIC	Restriction Digest	single	ILLUMINA	Illumina HiSeq 4000	RAD-Seq with SBFI; sequences trimmed to 142bp	fastq	JB021108_09_PE.1.fq.gz					
JB021108_11	JB021108_11_2	Pacific cod RAD-seq	RAD-Seq	GENOMIC	Restriction Digest	single	ILLUMINA	Illumina HiSeq 4000	RAD-Seq with SBFI; sequences trimmed to 142bp	fastq	JB021108_11_2.fq.gz					
JB021108_12	JB021108_12_PE	Pacific cod RAD-seq	RAD-Seq	GENOMIC	Restriction Digest	single	ILLUMINA	Illumina HiSeq 4000	RAD-Seq with SBFI; sequences trimmed to 142bp	fastq	JB021108_12_PE.1.fq.gz					
JB021108_13	JB021108_13_PE	Pacific cod RAD-seq	RAD-Seq	GENOMIC	Restriction Digest	single	ILLUMINA	Illumina HiSeq 4000	RAD-Seq with SBFI; sequences trimmed to 142bp	fastq	JB021108_13_PE.1.fq.gz					
JB021108_14	JB021108_14_2	Pacific cod RAD-seq	RAD-Seq	GENOMIC	Restriction Digest	single	ILLUMINA	Illumina HiSeq 4000	RAD-Seq with SBFI; sequences trimmed to 142bp	fastq	JB021108_14_2.fq.gz					
JB021108_16	JB021108_16	Pacific cod RAD-seq	RAD-Seq	GENOMIC	Restriction Digest	single	ILLUMINA	Illumina HiSeq 4000	RAD-Seq with SBFI; sequences trimmed to 142bp	fastq	JB021108_16.fq.gz					
JB021108_17	JB021108_17_PE	Pacific cod RAD-seq	RAD-Seq	GENOMIC	Restriction Digest	single	ILLUMINA	Illumina HiSeq 4000	RAD-Seq with SBFI; sequences trimmed to 142bp	fastq	JB021108_17_PE.1.fq.gz					
JB021108_19	JB021108_19_PE	Pacific cod RAD-seq	RAD-Seq	GENOMIC	Restriction Digest	single	ILLUMINA	Illumina HiSeq 4000	RAD-Seq with SBFI; sequences trimmed to 142bp	fastq	JB021108_19_PE.1.fq.gz					
JB021108_20	JB021108_20	Pacific cod RAD-seq	RAD-Seq	GENOMIC	Restriction Digest	single	ILLUMINA	Illumina HiSeq 4000	RAD-Seq with SBFI; sequences trimmed to 142bp	fastq	JB021108_20.fq.gz					
JB021108_22	JB021108_22_PE	Pacific cod RAD-seq	RAD-Seq	GENOMIC	Restriction Digest	single	ILLUMINA	Illumina HiSeq 4000	RAD-Seq with SBFI; sequences trimmed to 142bp	fastq	JB021108_22_PE.1.fq.gz					
JB021108_23	JB021108_23	Pacific cod RAD-seq	RAD-Seq	GENOMIC	Restriction Digest	single	ILLUMINA	Illumina HiSeq 4000	RAD-Seq with SBFI; sequences trimmed to 142bp	fastq	JB021108_23.fq.gz					
JB021108_24	JB021108_24	Pacific cod RAD-seq	RAD-Seq	GENOMIC	Restriction Digest	single	ILLUMINA	Illumina HiSeq 4000	RAD-Seq with SBFI; sequences trimmed to 142bp	fastq	JB021108_24.fq.gz					
JB021108_25	JB021108_25_2	Pacific cod RAD-seq	RAD-Seq	GENOMIC	Restriction Digest	single	ILLUMINA	Illumina HiSeq 4000	RAD-Seq with SBFI; sequences trimmed to 142bp	fastq	JB021108_25_2.fq.gz					
JB021108_26	JB021108_26_PE	Pacific cod RAD-seq	RAD-Seq	GENOMIC	Restriction Digest	single	ILLUMINA	Illumina HiSeq 4000	RAD-Seq with SBFI; sequences trimmed to 142bp	fastq	JB021108_26_PE.1.fq.gz					
JB021108_28	JB021108_28_2	Pacific cod RAD-seq	RAD-Seq	GENOMIC	Restriction Digest	single	ILLUMINA	Illumina HiSeq 4000	RAD-Seq with SBFI; sequences trimmed to 142bp	fastq	JB021108_28_2.fq.gz					
JB021108_29	JB021108_29	Pacific cod RAD-seq	RAD-Seq	GENOMIC	Restriction Digest	single	ILLUMINA	Illumina HiSeq 4000	RAD-Seq with SBFI; sequences trimmed to 142bp	fastq	JB021108_29.fq.gz					
JB021108_30	JB021108_30	Pacific cod RAD-seq	RAD-Seq	GENOMIC	Restriction Digest	single	ILLUMINA	Illumina HiSeq 4000	RAD-Seq with SBFI; sequences trimmed to 142bp	fastq	JB021108_30.fq.gz					
JB021108_31	JB021108_31_2	Pacific cod RAD-seq	RAD-Seq	GENOMIC	Restriction Digest	single	ILLUMINA	Illumina HiSeq 4000	RAD-Seq with SBFI; sequences trimmed to 142bp	fastq	JB021108_31_2.fq.gz					
JB021108_32	JB021108_32	Pacific cod RAD-seq	RAD-Seq	GENOMIC	Restriction Digest	single	ILLUMINA	Illumina HiSeq 4000	RAD-Seq with SBFI; sequences trimmed to 142bp	fastq	JB021108_32.fq.gz					
JB021108_33	JB021108_33_2	Pacific cod RAD-seq	RAD-Seq	GENOMIC	Restriction Digest	single	ILLUMINA	Illumina HiSeq 4000	RAD-Seq with SBFI; sequences trimmed to 142bp	fastq	JB021108_33_2.fq.gz					
JB021108_34	JB021108_34	Pacific cod RAD-seq	RAD-Seq	GENOMIC	Restriction Digest	single	ILLUMINA	Illumina HiSeq 4000	RAD-Seq with SBFI; sequences trimmed to 142bp	fastq	JB021108_34.fq.gz					
JB021108_35	JB021108_35_2	Pacific cod RAD-seq	RAD-Seq	GENOMIC	Restriction Digest	single	ILLUMINA	Illumina HiSeq 4000	RAD-Seq with SBFI; sequences trimmed to 142bp	fastq	JB021108_35_2.fq.gz					
JB021108_36	JB021108_36_PE	Pacific cod RAD-seq	RAD-Seq	GENOMIC	Restriction Digest	single	ILLUMINA	Illumina HiSeq 4000	RAD-Seq with SBFI; sequences trimmed to 142bp	fastq	JB021108_36_PE.1.fq.gz					
JB021108_37	JB021108_37_PE	Pacific cod RAD-seq	RAD-Seq	GENOMIC	Restriction Digest	single	ILLUMINA	Illumina HiSeq 4000	RAD-Seq with SBFI; sequences trimmed to 142bp	fastq	JB021108_37_PE.1.fq.gz					
JB021108_38	JB021108_38_PE	Pacific cod RAD-seq	RAD-Seq	GENOMIC	Restriction Digest	single	ILLUMINA	Illumina HiSeq 4000	RAD-Seq with SBFI; sequences trimmed to 142bp	fastq	JB021108_38_PE.1.fq.gz					
